verse,label
2024,1
All you have to be is yourself,1
Believe in your flyness...conquer your shyness.,1
Burn that excel spread sheet,1
Decentralize,1
Distraction is the enemy of vision,1
Everything you do in life stems from either fear or love,1
For me giving up is way harder than trying.,1
"For me, money is not my definition of success. Inspiring people is a definition of success",1
Fur pillows are hard to actually sleep on,1
George Bush doesn't care about black people,1
Have you ever thought you were in love with someone but then realized you were just staring in a mirror for 20 minutes?,1
I care. I care about everything. Sometimes not giving a f#%k is caring the most.,1
I feel calm but energized,1
I feel like I'm too busy writing history to read it.,1
I feel like me and Taylor might still have sex,1
I give up drinking every week,1
I leave my emojis bart Simpson color,1
I love sleep; it's my favorite.,1
I make awesome decisions in bike stores!!!,1
I really love my Tesla. I'm in the future. Thank you Elon.,1
I still think I am the greatest.,1
I think I do myself a disservice by comparing myself to Steve Jobs and Walt Disney and human beings that we've seen before. It should be more like Willy Wonka...and welcome to my chocolate factory.,1
I want the world to be better! All I want is positive! All I want is dopeness!,1
I wish I had a friend like me,1
I'd like to meet with Tim Cook. I got some ideas,1
I'll say things that are serious and put them in a joke form so people can enjoy them. We laugh to keep from crying.,1
I'm a creative genius,1
I'm nice at ping pong,1
I'm the best,1
"If I don't scream, if I don't say something then no one's going to say anything.",1
If I got any cooler I would freeze to death,1
If you have the opportunity to play this game of life you need to appreciate every moment. a lot of people don't appreciate the moment until it's passed.,1
Just stop lying about shit. Just stop lying.,1
Keep squares out yo circle,1
"Keep your nose out the sky, keep your heart to god, and keep your face to the rising sun.",1
Let's be like water,1
Man... whatever happened to my antique fish tank?,1
My dad got me a drone for Christmas,1
My greatest award is what I'm about to do.,1
My greatest pain in life is that I will never be able to see myself perform live.,1
One day I'm gon' marry a porn star,1
One of my favorite of many things about what the Trump hat represents to me is that people can't tell me what to do because I'm black,1
Only free thinkers,1
People always say that you can't please everybody. I think that's a cop-out. Why not attempt it? Cause think of all the people that you will please if you try.,1
People always tell you 'Be humble. Be humble.' When was the last time someone told you to be amazing? Be great! Be awesome! Be awesome!,1
People only get jealous when they care.,1
Perhaps I should have been more like water today,1
Pulling up in the may bike,1
Shut the fuck up I will fucking laser you with alien fucking eyes and explode your fucking head,1
Sometimes I push the door close button on people running towards the elevator. I just need my own elevator sometimes. My sanctuary.,1
Sometimes you have to get rid of everything,1
Style is genderless,1
The thought police want to suppress freedom of thought,1
The world is our family,1
The world is our office,1
Today is the best day ever and tomorrow's going to be even better,1
Truth is my goal. Controversy is my gym. I'll do a hundred reps of controversy for a 6 pack of truth,1
Tweeting is legal and also therapeutic,1
We all self-conscious. I'm just the first to admit it.,1
We came into a broken world. And we're the cleanup crew.,1
You can't look at a glass half full or empty if it's overflowing.,1
I hate when I'm on a flight and I wake up with a water bottle next to me like oh great now I gotta be responsible for this water bottle,1
All the musicians will be free,1
Artists are founders,1
Buy property,1
Culture is the most powerful force in humanity under God,1
Empathy is the glue,1
I am one of the most famous people on the planet,1
I am running for President of the United States,1
I am the head of Adidas. I will bring Adidas and Puma back together and bring me and jay back together,1
I am Warhol. I am the No. 1 most impactful artist of our generation. I am Shakespeare in the flesh.,1
I channel Will Ferrell when I'm at the daddy daughter dances,1
I don't wanna see no woke tweets or hear no woke raps ... it's show time ... it's a whole different energy right now,1
I hear people say this person is cool and this person is not cool. People are cool. Man has never invented anything as awesome as a an actual person but sometimes we value the objects we create over life itself,1
I honestly need all my Royeres to be museum quality... if I see a fake Royere Ima have to Rick James your couch,1
I love UZI. I be saying the same thing about Steve Jobs. I be feeling just like UZI,1
I need an army of angels to cover me while I pull this sword out of the stone,1
I spoke to Dave Chapelle for two hours this morning. He is our modern day Socrates,1
I was just speaking with someone that told me their life story and they used to be homeless.,1
I watch Bladerunner on repeat,1
I'm giving all Good music artists back the 50% share I have of their masters,1
I'm going to personally see to it that Taylor Swift gets her masters back. Scooter is a close family friend,1
I'm the new Moses,1
Life is the ultimate gift,1
Ma$e is one of my favorite rappers and I based a lot of my flows off of him,1
Manga all day,1
My first pillar when I'm on the board of adidas will be an adidas Nike collaboration to support community growth,1
My mama was a' English teacher. I know how to use correct English but sometimes I just don't feel like it aaaand I ain't got to,1
My memories are from the future,1
My mother in law Kris Jenner ... makes the best music playlist,1
People say it's enough and I got my point across ... the point isn't across until we cross the point,1
People tried to talk me out of running for President. Never let weak controlling people kill your spirit,1
So many of us need so much less than we have especially when so many of us are in need,1
Speak God's truth to power,1
The media tries to kill our heroes one at a time,1
The world needs more Joy... this idea is super fresh,1
"There are 5 main pillars in a professional musicians business - Recording, Publishing, Touring, Merchandise & Name and likeness",1
There are people sleeping in parking lots,1
There's a crying need for civility across the board. We need to and will come together in the name of Jesus.,1
There's so many lonely emojis man,1
Trust me ... I won't stop,1
Two years ago we had 50 million people subscribed to music streaming services around the world. Today we have 400 million.,1
We are here to complete the revolution. We are building the future,1
We as a people will heal. We will insure the well being of each other,1
We have to evolve,1
We must and will cure homelessness and hunger. We have the capability as a species,1
We must form a union. We must unify,1
We used to diss Michael Jackson the media made us call him crazy ... then they killed him,1
We will be recognized,1
We will change the paradigm,1
We will cure hunger,1
We will heal. We will cure.,1
We're going to move the entire music industry into the 21st Century,1
We've gotten comfortable with not having what we deserve,1
Who made up the term major label in the first place???,1
Winning is the only option,1
For me to say I wasn't a genius I'd just be lying to you and to myself,1
I've known my mom since I was zero years old. She is quite dope.,1
I don't expect to be understood at all.,1
"I'm on the pursuit of awesomeness, excellence is the bare minimum.",1
You basically can say anything to someone on an email or text as long as you put LOL at the end.,1
"Success is the result of preparation, hard work, and learning from failure.",0
Consistency is more important than short bursts of motivation.,0
Great ideas come from deep focus and persistence.,0
Discipline always beats motivation in the long run.,0
Your habits shape your future more than your goals.,0
Small progress every day leads to big results.,0
"Failure is a teacher, not a verdict.",0
Confidence grows when you keep promises to yourself.,0
Hard work creates opportunities that luck cannot.,0
Patience and effort build real success.,0
Learning never exhausts the mind.,0
Growth begins at the edge of discomfort.,0
Dreams work only when you do.,0
"Focus on progress, not perfection.",0
Success is built on invisible effort.,0
Your mindset decides your limits.,0
Work in silence and let results speak.,0
Clear goals make hard work easier.,0
"Greatness is trained daily, not born overnight.",0
Action turns ideas into reality.,0
Learning never exhausts the mind. (478),0
Work in silence and let results speak. (411),0
Consistency is more important than short bursts of motivation. (430),0
Clear goals make hard work easier. (472),0
Dreams work only when you do. (996),0
Hard work creates opportunities that luck cannot. (835),0
Work in silence and let results speak. (411) (794),0
"Focus on progress, not perfection. (139)",0
Consistency is more important than short bursts of motivation. (78),0
Learning never exhausts the mind. (478) (66),0
Consistency is more important than short bursts of motivation. (78) (806),0
Dreams work only when you do. (996) (887),0
"Focus on progress, not perfection. (139) (474)",0
Action turns ideas into reality. (364),0
Patience and effort build real success. (104),0
Patience and effort build real success. (134),0
Patience and effort build real success. (134) (742),0
Consistency is more important than short bursts of motivation. (78) (806) (96),0
Patience and effort build real success. (134) (742) (559),0
Consistency is more important than short bursts of motivation. (78) (806) (654),0
"Greatness is trained daily, not born overnight. (814)",0
"Focus on progress, not perfection. (139) (474) (752)",0
Patience and effort build real success. (134) (742) (734),0
"Focus on progress, not perfection. (945)",0
Consistency is more important than short bursts of motivation. (635),0
Clear goals make hard work easier. (472) (651),0
Learning never exhausts the mind. (469),0
"Greatness is trained daily, not born overnight. (814) (223)",0
"Failure is a teacher, not a verdict. (50)",0
Consistency is more important than short bursts of motivation. (78) (806) (541),0
Consistency is more important than short bursts of motivation. (78) (806) (96) (73),0
Dreams work only when you do. (996) (480),0
Consistency is more important than short bursts of motivation. (635) (878),0
Consistency is more important than short bursts of motivation. (78) (806) (562),0
Action turns ideas into reality. (641),0
Consistency is more important than short bursts of motivation. (635) (375),0
Clear goals make hard work easier. (472) (651) (827),0
